Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPT OF HEALTH/MENTAL HYGIENE,"Water Ecologist, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),"Health Public Safety, Inspections, & Enforcement",F,63957,79435.08,Annual,"1 Court Square, Queens"
TEACHERS RETIREMENT SYSTEM,Accounting Analyst,ACCOUNTANT,"Finance, Accounting, & Procurement",F,54382,75000,Annual,55 Water St Ny Ny
TEACHERS RETIREMENT SYSTEM,Accounting Analyst,ACCOUNTANT,"Finance, Accounting, & Procurement",F,54382,75000,Annual,55 Water St Ny Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Protocol Manager, Bureau of Environmental Disease and Injury Prevention",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,82008,97659,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Protocol Manager, Bureau of Environmental Disease and Injury Prevention",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,82008,97659,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Asthma Counselor and Outreach Coordinator, Harlem Neighborhood Health Action Center",COMMUNITY COORDINATOR,Health,F,52524,81535,Annual,161-169 East 110 Street
DEPT OF HEALTH/MENTAL HYGIENE,"Asthma Counselor and Outreach Coordinator, Harlem Neighborhood Health Action Center",COMMUNITY COORDINATOR,Health,F,52524,81535,Annual,161-169 East 110 Street
NYC HOUSING AUTHORITY,Contract Specialist,CONSTRUCTION PROJECT MANAGER,Building Operations & Maintenance,,69963,118610,Annual,Heating Mgt-Operations
NYC HOUSING AUTHORITY,Contract Specialist,CONSTRUCTION PROJECT MANAGER,Building Operations & Maintenance,,69963,118610,Annual,Heating Mgt-Operations
HOUSING PRESERVATION & DVLPMNT,"Director,  Extremely Low & Low-Income Affordability Program (ELLA)",DIRECTOR OF MANAGEMENT & PLANN,Constituent Services & Community Programs,F,56990,105000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,"Director,  Extremely Low & Low-Income Affordability Program (ELLA)",DIRECTOR OF MANAGEMENT & PLANN,Constituent Services & Community Programs,F,56990,105000,Annual,100 Gold Street
BUSINESS INTEGRITY COMMISSION,Data Analyst,COMMUNITY COORDINATOR,"Technology, Data & Innovation Policy, Research & Analysis",F,60000,65000,Annual,"100 Church St., N.Y."
BUSINESS INTEGRITY COMMISSION,Data Analyst,COMMUNITY COORDINATOR,"Technology, Data & Innovation Policy, Research & Analysis",F,60000,65000,Annual,"100 Church St., N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",P,19.93,24.73,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",P,19.93,24.73,Hourly,"66 John Street, New York, Ny"
HOUSING PRESERVATION & DVLPMNT,Assistant Commissioner for Planning & Predevelopment,ASSISTANT COMMISSIONER (NEIGHB,Constituent Services & Community Programs,F,125000,135000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,Assistant Commissioner for Planning & Predevelopment,ASSISTANT COMMISSIONER (NEIGHB,Constituent Services & Community Programs,F,125000,135000,Annual,100 Gold Street
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation Policy, Research & Analysis",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation Policy, Research & Analysis",P,19.93,24.73,Hourly,59 Maiden Lane
DEPT OF DESIGN & CONSTRUCTION,"Deputy Director, Cost Estimating",ADM ENGINEER (NON MGRL),"Finance, Accounting, & Procurement",F,52137,141865,Annual,30-30 Thomson Ave L I City Qns
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Technology, Data & Innovation",P,15,17.5,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Technology, Data & Innovation",P,15,17.5,Hourly,"66 John Street, New York, Ny"
FINANCIAL INFO SVCS AGENCY,IT AUTOMATION AND MONITORING ENGINEER (OPA),IT AUTOMATION AND MONITORING E,"Technology, Data & Innovation",F,75000,105000,Annual,5 Manhattan West
FINANCIAL INFO SVCS AGENCY,IT AUTOMATION AND MONITORING ENGINEER (OPA),IT AUTOMATION AND MONITORING E,"Technology, Data & Innovation",F,75000,105000,Annual,5 Manhattan West
HOUSING PRESERVATION & DVLPMNT,"Senior Project Manager, Green Housing Preservation Program",HOUSING DEVELOPMENT SPECIALIST,"Engineering, Architecture, & Planning",F,55416,75000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,"Senior Project Manager, Green Housing Preservation Program",HOUSING DEVELOPMENT SPECIALIST,"Engineering, Architecture, & Planning",F,55416,75000,Annual,100 Gold Street
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation Policy, Research & Analysis",P,19.93,24.73,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation Policy, Research & Analysis",P,19.93,24.73,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF BUILDINGS,"Deputy Director, Financial Policy and Reports",ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",F,58675,106000,Annual,"280 Broadway, 6th Floor, N.Y."
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Administration & Human Resources,P,15,17.5,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Administration & Human Resources,P,15,17.5,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF CORRECTION,DATA CENTER SYSTEM ADMINISTRATORS,COMPUTER ASSOC (OPERATIONS),"Technology, Data & Innovation",F,59680,68632,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,DATA CENTER SYSTEM ADMINISTRATORS,COMPUTER ASSOC (OPERATIONS),"Technology, Data & Innovation",F,59680,68632,Annual,75-20 Astoria Blvd
TAXI & LIMOUSINE COMMISSION,Business Intelligence Analyst,COMMUNITY COORDINATOR,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,57000,61560,Annual,24-55 Bklyn Qns Expy Woodside
TAXI & LIMOUSINE COMMISSION,Business Intelligence Analyst,COMMUNITY COORDINATOR,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,57000,61560,Annual,24-55 Bklyn Qns Expy Woodside
POLICE DEPARTMENT,Police Administrative Aide,POLICE ADMINISTRATIVE AIDE,Administration & Human Resources,,35330,53619,Annual,Default
HRA/DEPT OF SOCIAL SERVICES,Project Manager,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,82884,95317,Annual,4 World Trade Center
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Communications & Intergovernmental Affairs,P,15,17.5,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Communications & Intergovernmental Affairs,P,15,17.5,Hourly,"1 Centre St., N.Y."
HRA/DEPT OF SOCIAL SERVICES,POOL SUPERVISOR,STAFF ANALYST,Administration & Human Resources Social Services,F,58152,66875,Annual,4 World Trade Center
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Policy, Research & Analysis",P,15,17.5,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Policy, Research & Analysis",P,15,17.5,Hourly,59 Maiden Lane
LAW DEPARTMENT,MEDICOLEGAL ANALYST,MEDICOLEGAL ANALYST (LAW DEPT),Health Legal Affairs,F,61950,81801,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,MEDICOLEGAL ANALYST,MEDICOLEGAL ANALYST (LAW DEPT),Health Legal Affairs,F,61950,81801,Annual,"100 Church St., N.Y."
DEPARTMENT OF BUILDINGS,"Deputy Director, Financial Compliance and Analysis",ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,58675,106000,Annual,"280 Broadway, 6th Floor, N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Finance, Accounting, & Procurement",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Finance, Accounting, & Procurement",P,19.93,24.73,Hourly,59 Maiden Lane
DEPT OF ENVIRONMENT PROTECTION,Director of Training,ADMINISTRATIVE STAFF ANALYST (,"Communications & Intergovernmental Affairs Policy, Research & Analysis",F,58675,156793,Annual,59-17 Junction Blvd Corona Ny
DEPARTMENT OF CORRECTION,SENIOR QA TESTER,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation Policy, Research & Analysis",F,56990,120000,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,SENIOR QA TESTER,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation Policy, Research & Analysis",F,56990,120000,Annual,75-20 Astoria Blvd
CONSUMER AFFAIRS,Project Coordinator,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement Policy, Research & Analysis",,52524,52524,Annual,"42 Broadway, N.Y."
CONSUMER AFFAIRS,Project Coordinator,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement Policy, Research & Analysis",,52524,52524,Annual,"42 Broadway, N.Y."
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Administration & Human Resources,P,15,17.5,Hourly,"210 Joralemon St., Brooklyn"
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Administration & Human Resources,P,15,17.5,Hourly,"210 Joralemon St., Brooklyn"
DEPARTMENT OF BUILDINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),"Administration & Human Resources Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Legal Affairs Public Safety, Inspections, & Enforcement",F,15.5,16.35,Hourly,NYC - All Boroughs
DEPARTMENT OF BUILDINGS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),"Administration & Human Resources Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Legal Affairs Public Safety, Inspections, & Enforcement",F,15.5,16.35,Hourly,NYC - All Boroughs
DEPT OF HEALTH/MENTAL HYGIENE,"Bilingual NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),Health,F,86194,86194,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Bilingual NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),Health,F,86194,86194,Annual,42-09 28th Street
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Administration & Human Resources,F,15,17.5,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,Administration & Human Resources,F,15,17.5,Hourly,"66 John Street, New York, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Public Health Inspector, Bureau of Food Safety and Community Sanitation",ASSOCIATE PUBLIC HEALTH SANITA,"Health Public Safety, Inspections, & Enforcement",F,58677,72877.32,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Public Health Inspector, Bureau of Food Safety and Community Sanitation",ASSOCIATE PUBLIC HEALTH SANITA,"Health Public Safety, Inspections, & Enforcement",F,58677,72877.32,Annual,"125 Worth Street, Nyc"
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Technology, Data & Innovation",P,15,17.5,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Technology, Data & Innovation",P,15,17.5,Hourly,"1 Centre St., N.Y."
ADMIN FOR CHILDREN'S SVCS,Contract Manager,ADMINISTRATIVE STAFF ANALYST (,"Policy, Research & Analysis",F,62862,85143,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Deputy Director of Operations,DIRECTOR OF FIELD OPERATIONS (,Social Services,F,63031,109100,Annual,"1200 Waters Place, Bronx Ny"
HOUSING PRESERVATION & DVLPMNT,"Project Manager, Multi-Family New Construction Programs (MFNC)",HOUSING DEVELOPMENT SPECIALIST,Constituent Services & Community Programs,F,55416,70000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,"Project Manager, Multi-Family New Construction Programs (MFNC)",HOUSING DEVELOPMENT SPECIALIST,Constituent Services & Community Programs,F,55416,70000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,"Deputy Director, Green Housing Preservation Program and Multifamily Housing Rehabilitation Program",HOUSING DEVELOPMENT SPECIALIST,"Engineering, Architecture, & Planning",F,65783,90000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,"Deputy Director, Green Housing Preservation Program and Multifamily Housing Rehabilitation Program",HOUSING DEVELOPMENT SPECIALIST,"Engineering, Architecture, & Planning",F,65783,90000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,"Deputy Director, Leveraged Preservation Programs",HOUSING DEVELOPMENT SPECIALIST,"Engineering, Architecture, & Planning",F,65783,90000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,"Deputy Director, Leveraged Preservation Programs",HOUSING DEVELOPMENT SPECIALIST,"Engineering, Architecture, & Planning",F,65783,90000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,File Room Clerk,COMMUNITY ASSOCIATE,Constituent Services & Community Programs,F,37217,42799,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,File Room Clerk,COMMUNITY ASSOCIATE,Constituent Services & Community Programs,F,37217,42799,Annual,100 Gold Street
HRA/DEPT OF SOCIAL SERVICES,Office Manager,PRINCIPAL ADMINISTRATIVE ASSOC,Social Services,F,49390,56798,Annual,890 Garrison Avenue
HRA/DEPT OF SOCIAL SERVICES,Client Service Coordinator,COMMUNITY COORDINATOR,Social Services,F,52524,52524,Annual,"80 Centre St., N.Y."
HRA/DEPT OF SOCIAL SERVICES,"Assistant Director, Business Solution& Support Unit",ADMINISTRATIVE STAFF ANALYST (,Social Services,F,62862,95000,Annual,470 Vanderbilt Ave
DEPT OF ENVIRONMENT PROTECTION,Supervisor (Water & Sewer Systems),SUPERVISOR (WATER & SEWER SYST,Building Operations & Maintenance,F,61311,93583,Annual,"855 Remsen., Brooklyn"
DEPARTMENT OF BUILDINGS,Construction Inspector,INSPECTOR (CONSTRUCTION),"Public Safety, Inspections, & Enforcement",F,49862,61800,Annual,NYC - All Boroughs
DEPARTMENT OF BUILDINGS,Construction Inspector,INSPECTOR (CONSTRUCTION),"Public Safety, Inspections, & Enforcement",F,49862,61800,Annual,NYC - All Boroughs
DEPT OF HEALTH/MENTAL HYGIENE,"NYCHA Survey Team Supervisor, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,"Health Public Safety, Inspections, & Enforcement",F,58677,75355.92,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"NYCHA Survey Team Supervisor, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,"Health Public Safety, Inspections, & Enforcement",F,58677,75355.92,Annual,"125 Worth Street, Nyc"
DEPARTMENT OF BUILDINGS,Plumbing Inspector,INSPECTOR (PLUMBING),"Public Safety, Inspections, & Enforcement",F,49862,61800,Annual,NYC - All Boroughs
DEPARTMENT OF BUILDINGS,Plumbing Inspector,INSPECTOR (PLUMBING),"Public Safety, Inspections, & Enforcement",F,49862,61800,Annual,NYC - All Boroughs
DEPARTMENT OF INVESTIGATION,Administrative Office Assistant,CLERICAL ASSOCIATE,"Public Safety, Inspections, & Enforcement",F,35330,41000,Annual,80 Maiden Lane
DEPARTMENT OF BUILDINGS,Electrical Inspector,INSPECTOR (ELECTRICAL FOR PAYR,"Public Safety, Inspections, & Enforcement",F,46235,61800,Annual,NYC - All Boroughs
DEPARTMENT OF BUILDINGS,Electrical Inspector,INSPECTOR (ELECTRICAL FOR PAYR,"Public Safety, Inspections, & Enforcement",F,46235,61800,Annual,NYC - All Boroughs
DEPARTMENT OF BUILDINGS,Elevator Inspector,INSPECTOR (ELEVATORS),"Public Safety, Inspections, & Enforcement",F,49862,72836,Annual,"280 Broadway, 4th Floor, N.Y."
DEPARTMENT OF BUILDINGS,Elevator Inspector,INSPECTOR (ELEVATORS),"Public Safety, Inspections, & Enforcement",F,49862,72836,Annual,"280 Broadway, 4th Floor, N.Y."
DEPARTMENT OF CORRECTION,Operational Review Specialist,COMMUNITY COORDINATOR,Administration & Human Resources,F,52524,60403,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,Operational Review Specialist,COMMUNITY COORDINATOR,Administration & Human Resources,F,52524,60403,Annual,75-20 Astoria Blvd
FIRE DEPARTMENT,Records Access Officer,AGENCY ATTORNEY,Legal Affairs,F,73938,92000,Annual,"9 Metrotech Center, Brooklyn N"
DEPT OF HEALTH/MENTAL HYGIENE,"Quality/Performance Improvement Specialist,  Bureau of Clinical Quality Management and Improvement",CITY RESEARCH SCIENTIST,Health,F,62272,68499,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Quality/Performance Improvement Specialist,  Bureau of Clinical Quality Management and Improvement",CITY RESEARCH SCIENTIST,Health,F,62272,68499,Annual,42-09 28th Street
DEPT OF ENVIRONMENT PROTECTION,CityTime Specialist/DCD Coordinator,CLERICAL ASSOCIATE,Administration & Human Resources,F,44679,59000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF HEALTH/MENTAL HYGIENE,"SQL Server Database Administrator, Bureau of Application Development and Database Administration",IT AUTOMATION AND MONITORING E,Health,F,0,101791,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"SQL Server Database Administrator, Bureau of Application Development and Database Administration",IT AUTOMATION AND MONITORING E,Health,F,0,101791,Annual,42-09 28th Street
FIRE DEPARTMENT,Staff Attorney,AGENCY ATTORNEY,Legal Affairs,F,73938,85029,Annual,"9 Metrotech Center, Brooklyn N"
FIRE DEPARTMENT,Staff Attorney,AGENCY ATTORNEY,Legal Affairs,F,73938,85029,Annual,"9 Metrotech Center, Brooklyn N"
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist,  Bureau of the Public Health Laboratory",LABORATORY MICROBIOLOGIST,Health,F,52902,61225.2,Annual,"455 First Ave., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist,  Bureau of the Public Health Laboratory",LABORATORY MICROBIOLOGIST,Health,F,52902,61225.2,Annual,"455 First Ave., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Epidemiologist, Bureau of Immunization/Immunization Registry",PUBLIC HEALTH EPIDEMIOLOGIST,Health,F,53857,66890.88,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Epidemiologist, Bureau of Immunization/Immunization Registry",PUBLIC HEALTH EPIDEMIOLOGIST,Health,F,53857,66890.88,Annual,42-09 28th Street
DEPARTMENT OF CORRECTION,IT NETWORK MANAGER,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation Policy, Research & Analysis",F,100000,120000,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,IT NETWORK MANAGER,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation Policy, Research & Analysis",F,100000,120000,Annual,75-20 Astoria Blvd
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Regional Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Regional Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Data Scientist, Division Management & Systems Coordination",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,73305,90720,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Data Scientist, Division Management & Systems Coordination",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,73305,90720,Annual,42-09 28th Street
DEPARTMENT OF TRANSPORTATION,Transportation Planner,HIGHWAY TRANSPORTATION SPECIAL,"Engineering, Architecture, & Planning",F,65783,95270,Annual,55 Water St Ny Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Customer Service Representative,  Bureau of Vital Statistics/Records",CLERICAL ASSOCIATE,Health,F,35330,43879.32,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Customer Service Representative,  Bureau of Vital Statistics/Records",CLERICAL ASSOCIATE,Health,F,35330,43879.32,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Associate Director of Microbiology, Bureau of the Public Health Laboratory",COMPUTER SYSTEMS MANAGER,"Health Technology, Data & Innovation",F,56990,156829,Annual,"455 First Ave., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Associate Director of Microbiology, Bureau of the Public Health Laboratory",COMPUTER SYSTEMS MANAGER,"Health Technology, Data & Innovation",F,56990,156829,Annual,"455 First Ave., N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",F,19.93,24.73,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",F,19.93,24.73,Hourly,"1 Centre St., N.Y."
POLICE DEPARTMENT,SENIOR POLICE ADMINISTRATIVE AIDE,SENIOR POLICE ADMINISTRATIVE A,Administration & Human Resources,,42650,55430,Annual,"80 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",F,19.93,24.73,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",F,19.93,24.73,Hourly,"66 John Street, New York, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Assistant, Bureau of Sexually Transmitted Infections",PUBLIC HEALTH ASSISTANT,Health,P,17.0766,21.1,Hourly,34-33 Junction Blvd Queens
POLICE DEPARTMENT,Principal Administrative Associate  Level  I,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources,,44142,64662,Annual,"80 Centre St., N.Y."
DEPT OF DESIGN & CONSTRUCTION,Program Executive,ADM CONSTRUCTION PRJ MGR-NM,"Engineering, Architecture, & Planning",F,52137,141865,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Program Executive,ADM CONSTRUCTION PRJ MGR-NM,"Engineering, Architecture, & Planning",F,52137,141865,Annual,30-30 Thomson Ave L I City Qns
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Public Safety, Inspections, & Enforcement",F,19.93,24.73,Hourly,30-10 Starr Avenue
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Public Safety, Inspections, & Enforcement",F,19.93,24.73,Hourly,30-10 Starr Avenue
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Public Safety, Inspections, & Enforcement",F,15,17.5,Hourly,30-10 Starr Avenue
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Public Safety, Inspections, & Enforcement",F,15,17.5,Hourly,30-10 Starr Avenue
DEPT OF DESIGN & CONSTRUCTION,Program Executive,ADMIN ARCHITECT (NON MGRL) M-1,"Engineering, Architecture, & Planning",F,52137,141865,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Program Executive,ADMIN ARCHITECT (NON MGRL) M-1,"Engineering, Architecture, & Planning",F,52137,141865,Annual,30-30 Thomson Ave L I City Qns
DEPT OF ENVIRONMENT PROTECTION,Bureau Recruitment Associate,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources,F,49390,71794,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPT OF ENVIRONMENT PROTECTION,Bureau Recruitment Associate,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources,F,49390,71794,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Prevention Program Project Officer, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,Health,F,62272,68499,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Prevention Program Project Officer, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,Health,F,62272,68499,Annual,42-09 28th Street
ADMIN FOR CHILDREN'S SVCS,Clerical Support,CLERICAL ASSOCIATE,Social Services,F,35330,40629,Annual,"1274 Bedford Ave., Brooklyn"
DEPT OF HEALTH/MENTAL HYGIENE,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",ECONOMIST,"Finance, Accounting, & Procurement Health",F,44104,54000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",ECONOMIST,"Finance, Accounting, & Procurement Health",F,44104,54000,Annual,42-09 28th Street
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Policy, Research & Analysis",F,15,17.5,Hourly,"66 John Street, New York, Ny"
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Policy, Research & Analysis",F,15,17.5,Hourly,"66 John Street, New York, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Project Assistant, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",CITY RESEARCH SCIENTIST,Health,,62272,68499,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Project Assistant, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",CITY RESEARCH SCIENTIST,Health,,62272,68499,Annual,42-09 28th Street
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Finance, Accounting, & Procurement",F,15,17.5,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Finance, Accounting, & Procurement",F,15,17.5,Hourly,"1 Centre St., N.Y."
DEPT OF DESIGN & CONSTRUCTION,Senior Software Developer,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,56990,156829,Annual,30-30 Thomson Ave L I City Qns
